text,label,,Person 1,Person 2,tally ,
കാലാവസ്ഥ വിവരങ്ങൾ തർക്കം വിലക്കിയിരിക്കുന്നു.,negative,,0,1,0,
നൂതന ചിന്തനയായി,positive,,2,2,2,
പാചക ടെക്‌നിക് അപര്യാപ്തമാണ്.,negative,,1,0,2,
"""പ്രവർത്തനം കാര്യക്ഷമമാണോ എന്ന് നിർണ്ണയിക്കണം.""",neutral,,1,1,1,
"""വിനിയോഗം മൂല്യം ഒരു പ്രധാന ഘടകമാണ്.""",neutral,,0,1,1,
കാലാവസ്ഥാ ശാസ്ത്രീയ സംവാദം,neutral,,2,1,2,
പാട്ടിന്റെ വരികളിൽ ഒരു പുതിയ കാഴ്ച.,positive,,2,2,1,
ചിലർക്കു മറ്റൊരുമതം മനസ്സിലാക്കാൻ സമയം വേണം.,neutral,,1,1,2,
പാട്ടിൽ ഉള്ള സൗന്ദര്യം പ്രേക്ഷകർക്ക് വളരെ ആകർഷണീയമാണ്.,positive,,2,2,2,
ആശയവിനിമയത്തിലെ പ്രാവീണ്യം കാണാം.,positive,,0,2,2,
വായു വ്യവസ്ഥാ മാറ്റങ്ങൾ.,neutral,,2,1,2,
പാട്ടിന്റെ വരികൾ സ്വപ്നം പോലെ.,positive,,2,2,2,
പ്രകൃതിയിലേക്ക് ഇറങ്ങുന്ന മനോഹര വാതിലുകൾ,positive,,2,2,2,
ഡയറ്റ് ടിപ്സ് ലളിതമാണ്.,neutral,,2,2,1,
പാട്ടിലെ ശബ്ദം ആവർത്തിക്കുന്നു.,negative,,0,0,0,
ഈ കലാപരമായ പ്രവർത്തനം അഭിനന്ദനാർഹം.,positive,,2,2,2,
കലാകാരന്റെ ഉത്സാഹം മനസ്സിൽ തെളിയുന്നു.,positive,,2,2,2,
പാട്ടിന് പ്രൊഡക്ഷൻ ക്വാളിറ്റി കുറവാണ്.,negative,,1,0,1,
ഭക്ഷണ ശീലങ്ങൾ ഉടൻ പരിഷ്കരിക്കാം.,neutral,,2,2,0,
ആശംസകൾ അറിയിക്കുന്നു,positive,,2,2,2,
മാനദണ്ഡങ്ങള്‍ പാലിച്ചിരിക്കുന്നു.,neutral,,1,2,1,
ചിലർ പുതിയ ആളുകളെ സ്വീകരിക്കുന്നു.,neutral,,2,2,1,
റെഗുലർ വ്ലോഗിന്റെ ഒരു ഭാഗം.,neutral,,2,1,1,
വാർത്തകൾ തെറ്റായ രീതിയിൽ പ്രചാരണം,negative,,0,0,0,
ഭക്ഷണ ശീലങ്ങൾ മാറ്റാൻ സഹായിച്ചു.,positive,,1,2,2,
വാടുകൾക്ക് മഞ്ഞ മഴ വളരെ സഹായം.,positve ,,2,2,2,
പ്രകൃതി സംരക്ഷണത്തിനും സംരക്ഷിതമായ ഹാർമണി,positive,,2,2,2,
പാട്ടിന്റെ ലയവും താളവും ശരാശരി.,neutral,,2,1,1,
സാധാരണ വേളയിൽ പാചകം ചെയ്യാൻ കഴിയുന്ന തരത്തിൽ.,neutral,,1,1,1,
കാലാവസ്ഥ വിശദീകരണം ഏറെ ഉപകാരപ്രദം.,positve ,,1,2,2,
പാട്ട് കേൾക്കാൻ ഹൃദയം തൊടുന്നില്ല.,neutral,,2,0,1,
പഠിക്കാനുള്ള അത്യുത്തമ മാർഗ്ഗമാണ്.,negative,,0,2,0,
വ്യായാമം ഒരു ശീലമാകണം.,negative,,0,2,0,
""" സംരംഭം എളുപ്പമാണ് """,positive,,2,2,2,
പാട്ടിലെ ലയവും താളവും ശരാശരി.,neutral,,1,1,1,
പാചക ഭക്ഷണ ശൈലിയിൽ പുതുമ.,positive,,2,2,2,
പഠനത്തിന് നല്ല പ്രചോദനം നൽകുന്ന വീഡിയോ.,positive,,2,2,2,
പുതിയ പരിശീലന മാർഗ്ഗങ്ങൾ പരീക്ഷിക്കുക.,positive,,1,1,2,
കാലാവസ്ഥ പ്രദർശനം,neutral,,1,1,1,
പാട്ടിന്റെ രീതിയിൽ ചെറിയ മാറ്റങ്ങൾ കാണാനാകും.,neutral,,2,1,1,
പാട്ടിലെ ലളിതമായ ഘടകങ്ങൾ കേൾക്കാൻ സുഖകരമാണ്.,neutral,,2,2,1,
പാചകത്തിലെ നൈപുണ്യം അധികം.,positive,,2,2,2,
പാട്ടിന്റെ രചന ലളിതമാണ്.,neutral,,1,1,1,
വ്യായാമം സ്ഥിരതയോടെ.,negative,,0,2,0,
ജീവിതത്തിൽ വ്യത്യാസം.,positive,,1,1,2,
വീഡിയോകളിൽ അശുദ്ധി.,negative,,0,0,1,
പൈതൃക സുവർണ്ണധാന്യം.,positive,,2,2,2,
സമ്പന്നമായ കേരളത്തിന്റെ സംസ്‌കാരം നിങ്ങൾ കാണിച്ചു.,positive,,2,2,2,
സാംസ്‌കാരിക വിസ്മയം സ്‌നേഹിച്ചു.,positive,,2,2,2,
പാട്ടിൻറെ രൂപകൽപ്പന വൈകാരികമല്ല.,neutral,,0,1,1,
പാട്ടിൻറെ വരികൾ ലളിതവും ഹൃദയസ്പർശിയും.,positive,,2,2,2,
നിങ്ങളുടെ ചാനല്‍ വിജയശാലിയാകട്ടെ.,positive,,2,2,2,
"ഡയലോഗുകൾ അലസമായിരുന്നു.,",negative,,0,0,0,
വാർത്തകൾക്കുള്ള പിന്തുണ കുറവാണ്,negative,,0,0,0,
ഓരോ സൂചനയും സൂക്ഷ്മം,positive,,1,2,2,
ഇതുപോലൊരു ചാനല്‍ കൂടുതല്‍ വേണം.,positive,,2,2,2,
നാടിന്റെ സമ്പത്ത് കാഴ്ച്ചചെയ്യുന്ന മനോഹരം,positive,,2,2,2,
സംഗീതം മനോരമമായ അനുഭവമായി.,positive,,2,2,2,
സാധാരണ കിടിലം രുചി തരാം എന്നുണ്ടാകൂ.,neutral,,2,1,1,
ശ്രദ്ധിക്കാൻ നല്ല വീഡിയോകൾ.,negative,,2,2,0,
"""സമയം കളയുന്നപ്പോൾ എല്ലാം""",negative,,0,0,0,
പ്രതീക്ഷയുടെ ശ്രുതി,positive,,2,2,2,
നമ്മുടെ സമ്പദ് വൈവിധ്യം ഈ പോലെയാണ്.,positive,,1,1,0,
ഫോട്ടോ തെറ്റിദ്ധാരണകൾ പരമാവധി,negative,,0,0,0,
ഇൻസ്പയറിംഗ് വീഡിയോകൾ ഉണ്ട്.,negative,,2,2,0,
"സംഗീതം ഹൃദയസ്പർശിയല്ല.,",negative,,0,0,0,
കേരളത്തിന്റെ പ്രകൃതി സുന്ദരമാണ്,positive,,2,2,2,
ഒരു പരമ്പരാഗത സംഭവവിവരണം.,neutral,,1,1,1,
കാലാവസ്ഥ സംരക്ഷണ വ്യവസ്ഥകൾ,neutral,,1,1,1,
മാംസപേശികൾക്ക് വേണ്ട ശക്തി വളർത്തുക.,positive,,1,2,2,
മികച്ച പ്രൊഫഷണൽ അവതരണം.,positive,,2,2,2,
പാട്ട് കേൾക്കുമ്പോൾ മനസിൽ ചിന്ത സ്വാഗതമാണ്.,neutral,,2,2,1,
നല്ല പഠന പ്രചാരണങ്ങള്‍.,positive,,2,2,2,
പാട്ടിന്റെ അവതരണം ഹൃദയസ്പർശിയായിരിക്കുന്നു.,neutral,,2,2,1,
മഴ ശക്തമായി തുടരുകയാണ്.,positve ,,1,1,2,
മഴ കുറവായെന്ന് മന്ത്രി പറഞ്ഞു.,negative,,1,1,0,
പുതിയ കാർട്ടുകൾ ഓരോരുത്തരെയും പ്രചോദിപ്പിക്കുന്നു.,positive,,2,2,2,
"""നിലവാരമേറിയ ഉൽപ്പന്നം ആവശ്യമാണ്.""",neutral,,1,1,1,
ഈ അടക്കം കൂടുതൽ ആളുകളെത്തുമെന്ന് പ്രതീക്ഷിക്കുന്നു.,positive,,1,1,2,
ദിനംപ്രതി ഒരുപാട് ഉപദേശങ്ങൾ ചെയ്തു.,negative,,1,1,0,
ചിലർ സ്വതന്ത്രകാലം കുറവായി കണ്ടെത്തുന്നു.,neutral,,1,0,1,
പാട്ടിൽ ഉള്ള ഗാന്ധർവ്വം വ്യക്തമാണ്.,positive,,2,2,2,
നാട്ടിൻപുറ കളികളും മേൽക്കോയ്മ.,positive,,1,1,2,
വലിയ മുന്നേറ്റം ശരീരത്തിലെ ഫലം.,positive,,2,2,2,
""" വീക്ഷണം """,positive,,1,0,2,
"വികൃതമായ പ്രകടനം.,",negative,,0,2,0,
ഫിറ്റ്നസ് മാര്‍ഗ്ഗനിർദ്ദേശങ്ങൾ കൃത്യമാണെന്ന് തോന്നുന്നു.,negative,,2,2,0,
സുതാര്യമായ സെക്രട്ടറി,positive,,1,1,2,
പുതിയ കാലാവസ്ഥാ വിവരങ്ങൾ പ്രസാരം.,neutral,,1,1,1,
ബഹുമുഖ സംസ്‌കാരത്തിന്റെ പ്രകടനം.,positive,,1,1,2,
കാലാവസ്ഥ ചിത്രീകരണം,neutral,,1,0,1,
പാട്ടിന്റെ പ്രൊഡക്ഷൻ ക്വാളിറ്റി വളരെ താഴെയാണ്.,negative,,0,2,0,
പാട്ടിൻറെ ലയത്തിൽ താളം മികവ്.,positive,,2,1,2,
പാട്ടിലെ സംഗീതം ലളിതമാണ്.,neutral,,1,1,1,
കുറ്റകൃത്യവും അന്വേഷണമാണ് സാധാരണ പ്രവൃത്തി.,neutral,,1,0,1,
വാർത്തകളിൽ ഐതാഹാസിക പിഴവ്,negative,,0,2,0,
ലോക്കൽ ഭാഷയുടെ ഉപയോഗം മനോഹരം.,negative,,2,2,0,
"സിനിമ മുഴുവൻ കാണാൻ മനോഹരം.,",positive,,2,2,2,
എളുപ്പത്തിൽ ചെയ്യാവുന്ന പാചകമായി.,positive,,2,2,2,
വിശദീകരണം എളുപ്പത്തിൽ മനസ്സിലായിരിക്കുന്നു.,neutral,,2,2,1,
ഹൃദയത്തിൽ നിന്നുള്ള പ്രണയം കാണിക്കുന്ന വീഡിയോകൾ.,positive,,2,2,2,
പാട്ട് കേൾക്കുമ്പോൾ ആശയങ്ങൾ വ്യക്തമാണ്.,neutral,,2,1,1,
കാലാവസ്ഥയെ ശ്രദ്ധവേണം.,neutral,,1,1,1,
പാട്ട് കേൾക്കാൻ ആകർഷകമല്ല.,neutral,,1,0,1,
കൂടുതൽ ആളുകൾ ഈ ചാനൽ കണ്ടാൽ കൊള്ളാമായിരുന്നു.,positive,,2,2,2,
"മഴ കൂട്ടിപ്പെയ്യുന്നു, സാധാരണ ശ്രദ്ധ വേണം.",positve ,,1,1,2,
പാട്ടിന്റെ വിനിയോഗം പ്രചോദനമല്ല.,negative,,0,0,0,
വാർത്തകൾ തെറ്റായി ദിശ തിരിക്കുന്നു,negative,,0,0,0,
കാലാവസ്ഥ വികസന പദ്ധതികൾ,neutral,,1,2,1,
"നല്ല അവതരണം, ആശയത്തിന്റെ കൃത്യത.",positive,,2,2,2,
ഫിറ്റ്‌നസ്സ് അധികാരം നിങ്ങളുടെ കയ്യിൽ.,positive,,1,1,2,
കാലാവസ്ഥാ പഠനത്തിനുള്ള ചുരുക്കം.,neutral,,1,1,1,
കാലാവസ്ഥാ ശാസ്ത്രം വികസനം,neutral,,1,1,1,
സഞ്ചാരം കൂടുതൽ സുരക്ഷിതമാക്കാൻ വഴി തേടണം,neutral,,1,1,1,
ഒരു സാധാരണ ദിവസത്തിന്റെ രേഖപ്പെടുത്തല്‍.,neutral,,1,2,1,
ഈ വീഡിയോ മനോഹരമാണ്.,positive,,2,1,2,
പാചക ടിപ് ഉണ്ട്.,neutral,,1,2,1,
പാടൽ ഭാവത്തിലുള്ള ശക്തിയാണ്.,positive,,2,2,2,
ഇവിടുത്തെ പാട്ടുകൾ കലയുടെ ഉറവിടം.,positive,,2,2,2,
നാടൻ വിഭവങ്ങളും സംസാരവുമെല്ലാം അത്ഭുതം.,positive,,2,2,2,
"എഡിറ്റിംഗ് കഴിവുള്ളവരുടെ സംഘമാണ്.,",positive,,1,2,2,
പോലീസ് ഉദ്യോഗസ്ഥർ സ്ഥലത്തെത്തി.,neutral,,1,1,1,
വൈദ്യുതികൾ എന്നടക്കം സൗകര്യങ്ങൾ കുറവാണ്,negative,,0,0,0,
സാധാരണ ഉദാത്തമായ വിട്‌യോകൾ.,neutral,,2,2,1,
"വാർത്താ ഷോ ശരാശരി.,",neutral,,1,1,1,
പാട്ട് ഹൃദയത്തിലേക്ക് ഒരു കാഴ്ച നൽകുന്നു.,positive,,2,2,2,
പുത്തൻ റിപ്പോർട്ട്,positive,,1,1,1,
വാർത്തയിൽ സമർത്ഥമായ ആശയം ഇല്ല,negative,,0,0,0,
വാർത്തകൾ പൊതുമേഖലയെ കുഴപ്പത്തിലാക്കുന്നു,negative,,0,0,0,
കാലാവസ്ഥാ വിവരങ്ങളുടെ പുതുമ,neutral,,1,1,1,
പാട്ടിന്റെ ലയവും താളവും ശരാശരി.,neutral,,1,1,1,
പുത്തൻ ആശയങ്ങൾ ലഭിച്ചു.,negative,,2,2,1,
വൈവിധ്യമാർന്ന ജീവിത വിദ്യകൾ കാണാറുണ്ട്.,neutral,,1,2,0,
മഴ കുറവായിട്ടും അറിയിപ്പ് എത്തി.,negative,,1,1,1,
വീഡിയോ ചില ഭാഗങ്ങളിലുണ്ട്.,neutral,,1,1,0,
"നല്ല എഡിറ്റിംഗ്, കാഴ്ചയ്ക്ക് ആകര്‍ഷകമാണ്.",positive,,2,2,2,
പാട്ടിന്റെ സ്വഭാവം മിതമാണ്.,neutral,,1,1,1,
ചുറ്റുപാടുകൾ മലിനീകരണം,negative,,0,0,0,
പാട്ടിന്റെ ഭാഗങ്ങൾ ഹൃദയസ്പർശമാണ്.,neutral,,2,2,1,
പാട്ടിന്റെ ശബ്ദം മിതമാണ്.,neutral,,1,1,1,
വീഡിയോകളുടെ മാറ്റം പഠന മൂല്യം വർധിപ്പിച്ചു.,positive,,2,2,2,
പുതിയ വിവരങ്ങൾ ഉൾപ്പെടുത്തിയതിലുള്ള സന്തോഷം,positive,,2,2,2,
"""ക്ലാസിനു വേറെ ലെവലാണു!! മോശം!!""",negative,,0,0,0,
വാർത്തകൾ തെറ്റായ ആശയമാറ്റങ്ങൾ,negative,,0,0,0,
"""കണ്ടു തുടങ്ങുമ്പോ തന്നെ വിഷമം തരണം""",negative,,0,0,0,
മറ്റ്നാൾ ഒറ്റ സർച്ച് മതിയാകും.,positive,,2,1,2,
പാട്ട് കേൾക്കാനാകുന്നവർക്കും ഹൃദയസ്പർശം.,neutral,,2,2,1,
മിതമായ ശബ്ദം ഉണ്ട്.,neutral,,1,1,1,
ഫിറ്റ്‌നസിന് വേണ്ടിയുള്ള വഴികൾ.,neutral,,1,1,1,
വാർത്തകൾ ജനങ്ങളിൽ ദുര്‌ബല മനോഭാവം സൃഷ്ടിക്കുന്നു,negative,,0,0,0,
"""ബിസിനസ് പഠനം = സമയം കളയൽ""",negative,,0,0,0,
ലൈഫ്‌സ്റ്റൈൽ ഉന്നതമായി.,positive,,2,2,2,
പ്രാഥമിക വിദ്യാർത്ഥികൾക്കായി ഉത്തമമാണ്.,negative,,2,2,0,
വാർത്തകളിലെ അപരിഷ്കൃതങ്ങൾ,negative,,0,0,0,
പാട്ട് കേൾക്കുമ്പോൾ സന്തോഷം ലഭിക്കുന്നു.,neutral,,2,2,1,
"""ഇത് കണ്ടാൽ തന്നെ ജീവൻ നഷ്ടം""",negative,,0,0,0,
പിസിനസ്സുകൾക്കും കച്ചവടങ്ങൾക്കും മാറ്റി വയ്ക്കുന്നു,negative,,1,1,0,
ജീവിത ദൗർബല്യങ്ങളെ മറക്കാൻ പറ്റിയ യാത്ര,positive,,2,2,2,
കാലാവസ്ഥാവിഷയം പഠിക്കുന്നു.,neutral,,1,1,1,
കാലാവസ്ഥാ നിരീക്ഷണത്തിൽ പുരോഗതി കാണാം.,neutral,,2,2,2,
"""വിജയത്തിനുള്ള വഴി""",positive,,2,2,2,
പാട്ട് കേൾക്കുമ്പോൾ ആശയങ്ങൾ വ്യക്തമാണ്.,neutral,,2,2,1,
നാട്ടിൻപുറത്തെ പാട്ടുകൾ മനസ്സിൽ പതിച്ചു.,positive,,2,2,2,
ശരീരസൗഖ്യത്തിന് നല്ല ടിപ്‌സുകൾ.,positive,,2,2,2,
സാങ്കേതിക വിദ്യ ഉപയോഗിച്ച് നിർവചനം.,neutral,,1,1,1,
പോസിറ്റീവ് എനർജി കിട്ടുന്നു.,positive,,2,2,2,
വാർത്ത കേൾക്കാൻ തയാറല്ല,negative,,0,0,0,
മാനസിക തകരാറുകൾ കുറയ്ക്കാം.,neutral,,2,2,1,
കാലാവസ്ഥാ പ്രവചനങ്ങളുടെ ഗുണമേൻമ ചോദ്യം,negative,,0,0,0,
ഹൃദയത്തിന് തണുപ്പുളള വീഡിയോകള്‍.,positive,,2,2,2,
"പ്രേക്ഷകരുടെ പ്രതികരണത്തിൽ അക്രമം.,",negative,,0,0,0,
പഠനത്തിലെ വെല്ലുവിളികൾ മറികടക്കാൻ സഹായം.,negative,,2,2,0,
നൂതന ചാനൽ അപ്ഡേറ്റ്സ്,positive,,2,2,2,
പ്രസംഗം അനാവശ്യമായി നീണ്ടുകിടക്കുന്നു,negative,,0,0,0,
"നല്ല വീഡിയോ, മനസ് പടർത്തുന്നു.",positive,,2,2,2,
ബാല്യം മുതൽ ആരോഗ്യം പ്രധാനമാണ്.,neutral,,1,2,1,
മഴ കുറഞ്ഞത് വിളവെടുപ്പിന് ദോഷം.,negative,,0,2,0,
വ്യായാമം ചെയ്യാൻ സമയം കണ്ടെത്തുക.,neutral,,1,0,1,
നൂതനമായ വിഷയങ്ങൾ,positive,,2,2,2,
അവഗണന ചെയ്‌തു പോയി,negative,,0,2,0,
പാടൽ ഹൃദയത്തിലെ ഉറവിടങ്ങളിൽ നിന്നും വരുന്നു.,positive,,2,0,2,
പാരമ്പര്യ സംഗീതത്തിന്റെ മനോഹരം.,positive,,2,2,2,
"""സ്വന്തമായ മാർക്കറ്റിങ് പ്ലാൻ വേണം.""",neutral,,1,1,1,
"""മനോഹരമായ സങ്കല്പം""",positive,,2,2,2,
മഴ ശക്തമായി തുടരുന്നു.,positve ,,1,1,2,
പകൽ കാലാവസ്ഥ യോജിക്കണം.,neutral,,1,1,1,
കാലാവസ്ഥയെക്കുറിച്ചുള്ള ആശങ്ക,neutral,,0,0,1,
പാട്ട് ആശയക്കുഴപ്പത്തിലാണ്.,negative,,0,0,0,
പാട്ടിൽ ഉള്ള സംഗീത താളം മനോഹരവും താളബദ്ധവുമാണ്.,positive,,2,2,2,
കാലാവസ്ഥാ വിവരങ്ങളുടെ പ്രാധാന്യം,negative,,1,1,0,
ഭക്ഷണ ശീലങ്ങൾ പരിഷ്കരിക്കാം.,neutral,,1,2,1,
കൂടുതൽ വിവരങ്ങള്‍ ആവശ്യമുണ്ട്.,neutral,,1,1,1,
നല്ല കാലാവസ്ഥയിൽ കൃഷിക്ക് വളർച്ച.,positve ,,2,2,3,
കാലാവസ്ഥാ പ്രാപ്‌തമാക്കലുകൾ.,neutral,,1,1,1,
ഗായകൻ മറ്റൊരാളുടെ ശൈലി പകർന്നു.,negative,,0,0,0,
പാചകത്തിലെ കാര്യങ്ങൾ തെറ്റായിരിക്കുന്നു.,negative,,0,0,0,
വ്യത്യസ്ത തത്സമയ മനോഹരത ഇല്ല.,negative,,0,0,0,
സംഗീതം മനസ്സിൽക്കയറി.,positive,,2,2,2,
പ്രഭാഷണം വളരെ ഉന്നതം,positive,,2,2,2,
പാചകവിധി ലളിതമാണ്.,neutral,,2,2,1,
പാട്ട് കേൾക്കുമ്പോൾ മനസ്സിൽ അനുഭവം.,neutral,,1,1,1,
കാറ്റായൽ കാലാവസ്ഥയുടെ സ്വഭാവം.,neutral,,1,1,1,
കാലാവസ്ഥാ വിശദീകരണങ്ങൾ.,neutral,,1,1,1,
കാലാവസ്ഥ റിപ്പോർട്ട് കരുതുമെന്ന് ഉറച്ചാണ്.,positve ,,2,1,2,
ഇതുവരെ കേട്ട ഏറ്റവും മനോഹരമായ പാട്ട്.,positive,,2,2,2,
മഴയ്ക്കു ശേഷം കാലാവസ്ഥ ശുഭമാണ്.,positve ,,2,2,2,
"പാട്ട് വേഗത കുറഞ്ഞു.,",negative,,1,1,0,
സംഗീത ഘടന ഹൃദയത്തെ ഇളക്കുന്നു.,positive,,2,2,2,
മഴ റിപ്പോർട്ടുകൾ നല്ല വിവരങ്ങളാണ്.,positve ,,2,2,2,
പാട്ടിന്റെ ഗുണനിലവാരം ശരാശരിയാണ്.,neutral,,1,1,1,
"വീഡിയോ അപ്ഡേറ്റ് സാധാരണ.,",neutral,,1,1,1,
മഴക്കാലം വളരെ മനോഹരം.,positve ,,2,2,2,
മഴ മുഴുവൻ സ്ഥലത്തും പെയ്യുന്നില്ല.,negative,,0,1,0,
വീഡിയോ പുരോഗമന സമയം ശരിയാണ്.,neutral,,1,1,1,
